features,accuracy,true_negative,false_positive,false_negative,true_positive,Cost
"['feature_1', 'feature_60', 'feature_122', 'feature_478']",0.829081633,316,50,17,9,1010
"['feature_1', 'feature_60', 'feature_122', 'feature_520']",0.829081633,314,52,15,11,970
"['feature_1', 'feature_60', 'feature_131', 'feature_206']",0.821428571,313,53,17,9,1040
"['feature_1', 'feature_60', 'feature_131', 'feature_248']",0.806122449,309,57,19,7,1140
"['feature_1', 'feature_60', 'feature_131', 'feature_342']",0.826530612,314,52,16,10,1000
"['feature_1', 'feature_60', 'feature_131', 'feature_478']",0.81377551,309,57,16,10,1050
"['feature_1', 'feature_60', 'feature_131', 'feature_520']",0.801020408,307,59,19,7,1160
"['feature_1', 'feature_60', 'feature_206', 'feature_248']",0.81122449,309,57,17,9,1080
"['feature_1', 'feature_60', 'feature_206', 'feature_342']",0.81122449,309,57,17,9,1080
"['feature_1', 'feature_60', 'feature_206', 'feature_478']",0.795918367,302,64,16,10,1120
"['feature_1', 'feature_60', 'feature_206', 'feature_520']",0.818877551,308,58,13,13,970
"['feature_1', 'feature_60', 'feature_248', 'feature_342']",0.821428571,313,53,17,9,1040
"['feature_1', 'feature_60', 'feature_248', 'feature_478']",0.826530612,311,55,13,13,940
"['feature_1', 'feature_60', 'feature_248', 'feature_520']",0.778061224,293,73,14,12,1150
"['feature_1', 'feature_60', 'feature_342', 'feature_478']",0.816326531,310,56,16,10,1040
"['feature_1', 'feature_60', 'feature_342', 'feature_520']",0.81377551,308,58,15,11,1030
"['feature_1', 'feature_60', 'feature_478', 'feature_520']",0.806122449,306,60,16,10,1080
"['feature_1', 'feature_122', 'feature_131', 'feature_206']",0.836734694,323,43,21,5,1060
"['feature_1', 'feature_122', 'feature_131', 'feature_248']",0.852040816,326,40,18,8,940
"['feature_1', 'feature_122', 'feature_131', 'feature_342']",0.831632653,321,45,21,5,1080
"['feature_1', 'feature_122', 'feature_131', 'feature_478']",0.846938776,327,39,21,5,1020
"['feature_1', 'feature_122', 'feature_131', 'feature_520']",0.841836735,324,42,20,6,1020
"['feature_1', 'feature_122', 'feature_206', 'feature_248']",0.844387755,321,45,16,10,930
"['feature_1', 'feature_122', 'feature_206', 'feature_342']",0.808673469,313,53,22,4,1190
"['feature_1', 'feature_122', 'feature_206', 'feature_478']",0.801020408,308,58,20,6,1180
"['feature_1', 'feature_122', 'feature_206', 'feature_520']",0.81377551,310,56,17,9,1070
"['feature_1', 'feature_122', 'feature_248', 'feature_342']",0.826530612,315,51,17,9,1020
"['feature_1', 'feature_122', 'feature_248', 'feature_478']",0.821428571,314,52,18,8,1060
"['feature_1', 'feature_122', 'feature_248', 'feature_520']",0.793367347,305,61,20,6,1210
"['feature_1', 'feature_122', 'feature_342', 'feature_478']",0.808673469,312,54,21,5,1170
"['feature_1', 'feature_122', 'feature_342', 'feature_520']",0.826530612,316,50,18,8,1040
"['feature_1', 'feature_122', 'feature_478', 'feature_520']",0.808673469,309,57,18,8,1110
"['feature_1', 'feature_131', 'feature_206', 'feature_248']",0.81122449,310,56,18,8,1100
"['feature_1', 'feature_131', 'feature_206', 'feature_342']",0.760204082,294,72,22,4,1380
"['feature_1', 'feature_131', 'feature_206', 'feature_478']",0.788265306,301,65,18,8,1190
"['feature_1', 'feature_131', 'feature_206', 'feature_520']",0.798469388,306,60,19,7,1170
"['feature_1', 'feature_131', 'feature_248', 'feature_342']",0.788265306,304,62,21,5,1250
"['feature_1', 'feature_131', 'feature_248', 'feature_478']",0.808673469,310,56,19,7,1130
"['feature_1', 'feature_131', 'feature_248', 'feature_520']",0.783163265,301,65,20,6,1250
"['feature_1', 'feature_131', 'feature_342', 'feature_478']",0.75255102,289,77,20,6,1370
"['feature_1', 'feature_131', 'feature_342', 'feature_520']",0.780612245,301,65,21,5,1280
"['feature_1', 'feature_131', 'feature_478', 'feature_520']",0.790816327,303,63,19,7,1200
"['feature_1', 'feature_206', 'feature_248', 'feature_342']",0.785714286,299,67,17,9,1180
"['feature_1', 'feature_206', 'feature_248', 'feature_478']",0.775510204,296,70,18,8,1240
"['feature_1', 'feature_206', 'feature_248', 'feature_520']",0.742346939,281,85,16,10,1330
"['feature_1', 'feature_206', 'feature_342', 'feature_478']",0.75255102,287,79,18,8,1330
"['feature_1', 'feature_206', 'feature_342', 'feature_520']",0.767857143,292,74,17,9,1250
"['feature_1', 'feature_206', 'feature_478', 'feature_520']",0.75,286,80,18,8,1340
